id, x, y, theta, volume, gfp, rfp, yfp, cfp
346, -517.325317, 92.439896, 6.364547, 2.963222, 0, 148, 0, 0
347, -298.189941, 540.950500, 12.739578, 3.624094, 181, 0, 0, 0
348, -448.858459, -334.225861, 9.873473, 2.998511, 149, 0, 0, 0
349, -453.213989, 207.358536, 9.637185, 3.857095, 192, 0, 0, 0
350, -289.201141, -39.679249, 9.818740, 3.783976, 0, 189, 0, 0
351, 372.415863, 372.715912, 7.162410, 3.447018, 0, 172, 0, 0
352, -572.490051, -328.875702, 13.355513, 2.976813, 0, 148, 0, 0
353, 448.926025, 421.428009, 7.532646, 2.813504, 0, 140, 0, 0
354, -291.543274, 115.360054, 9.041228, 3.812760, 0, 190, 0, 0
355, 277.788635, -109.495049, 9.187070, 2.964941, 148, 0, 0, 0
356, 256.346954, 217.767487, 6.418515, 2.909586, 0, 145, 0, 0
357, 359.020874, -470.192749, 9.002437, 2.871524, 0, 143, 0, 0
358, -579.863892, 34.313683, 9.316229, 3.200731, 0, 160, 0, 0
359, -454.635071, -287.923737, 6.849383, 2.641759, 0, 132, 0, 0
360, -137.915924, 498.599091, 7.466243, 2.678878, 0, 133, 0, 0
361, -329.294586, -555.861755, 7.504504, 3.609202, 0, 180, 0, 0
362, -503.319794, 133.327255, 9.532142, 2.714399, 135, 0, 0, 0
363, 495.164337, 423.831604, 7.642983, 2.975656, 148, 0, 0, 0
